index,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
36,5.5,3.5,1.3,0.2
55,5.7,2.8,4.5,1.3
44,5.1,3.8,1.9,0.4
134,6.1,2.6,5.6,1.4
39,5.1,3.4,1.5,0.2
90,5.5,2.6,4.4,1.2
147,6.5,3.0,5.2,2.0
47,4.6,3.2,1.4,0.2
3,4.6,3.1,1.5,0.2
81,5.5,2.4,3.7,1.0
136,6.3,3.4,5.6,2.4
88,5.6,3.0,4.1,1.3
54,6.5,2.8,4.6,1.5
139,6.9,3.1,5.4,2.1
67,5.8,2.7,4.1,1.0
142,5.8,2.7,5.1,1.9
113,5.7,2.5,5.0,2.0
65,6.7,3.1,4.4,1.4
50,7.0,3.2,4.7,1.4
46,5.1,3.8,1.6,0.2
19,5.1,3.8,1.5,0.3
121,5.6,2.8,4.9,2.0
103,6.3,2.9,5.6,1.8
129,7.2,3.0,5.8,1.6
21,5.1,3.7,1.5,0.4
86,6.7,3.1,4.7,1.5
99,5.7,2.8,4.1,1.3
100,6.3,3.3,6.0,2.5
0,5.1,3.5,1.4,0.2
9,4.9,3.1,1.5,0.1
