index,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
45,4.8,3.0,1.4,0.3
1,4.9,3.0,1.4,0.2
38,4.4,3.0,1.3,0.2
7,5.0,3.4,1.5,0.2
82,5.8,2.7,3.9,1.2
37,4.9,3.6,1.4,0.1
108,6.7,2.5,5.8,1.8
124,6.7,3.3,5.7,2.1
72,6.3,2.5,4.9,1.5
127,6.1,3.0,4.9,1.8
149,5.9,3.0,5.1,1.8
94,5.6,2.7,4.2,1.3
5,5.4,3.9,1.7,0.4
57,4.9,2.4,3.3,1.0
118,7.7,2.6,6.9,2.3
141,6.9,3.1,5.1,2.3
32,5.2,4.1,1.5,0.1
96,5.7,2.9,4.2,1.3
56,6.3,3.3,4.7,1.6
28,5.2,3.4,1.4,0.2
104,6.5,3.0,5.8,2.2
22,4.6,3.6,1.0,0.2
27,5.2,3.5,1.5,0.2
140,6.7,3.1,5.6,2.4
112,6.8,3.0,5.5,2.1
98,5.1,2.5,3.0,1.1
69,5.6,2.5,3.9,1.1
26,5.0,3.4,1.6,0.4
114,5.8,2.8,5.1,2.4
125,7.2,3.2,6.0,1.8
83,6.0,2.7,5.1,1.6
91,6.1,3.0,4.6,1.4
31,5.4,3.4,1.5,0.4
110,6.5,3.2,5.1,2.0
126,6.2,2.8,4.8,1.8
89,5.5,2.5,4.0,1.3
122,7.7,2.8,6.7,2.0
79,5.7,2.6,3.5,1.0
132,6.4,2.8,5.6,2.2
78,6.0,2.9,4.5,1.5
87,6.3,2.3,4.4,1.3
73,6.1,2.8,4.7,1.2
4,5.0,3.6,1.4,0.2
23,5.1,3.3,1.7,0.5
62,6.0,2.2,4.0,1.0
75,6.6,3.0,4.4,1.4
115,6.4,3.2,5.3,2.3
120,6.9,3.2,5.7,2.3
59,5.2,2.7,3.9,1.4
16,5.4,3.9,1.3,0.4
146,6.3,2.5,5.0,1.9
102,7.1,3.0,5.9,2.1
8,4.4,2.9,1.4,0.2
10,5.4,3.7,1.5,0.2
74,6.4,2.9,4.3,1.3
95,5.7,3.0,4.2,1.2
13,4.3,3.0,1.1,0.1
24,4.8,3.4,1.9,0.2
97,6.2,2.9,4.3,1.3
135,7.7,3.0,6.1,2.3
33,5.5,4.2,1.4,0.2
15,5.7,4.4,1.5,0.4
61,5.9,3.0,4.2,1.5
77,6.7,3.0,5.0,1.7
105,7.6,3.0,6.6,2.1
66,5.6,3.0,4.5,1.5
119,6.0,2.2,5.0,1.5
12,4.8,3.0,1.4,0.1
41,4.5,2.3,1.3,0.3
137,6.4,3.1,5.5,1.8
51,6.4,3.2,4.5,1.5
63,6.1,2.9,4.7,1.4
11,4.8,3.4,1.6,0.2
6,4.6,3.4,1.4,0.3
111,6.4,2.7,5.3,1.9
93,5.0,2.3,3.3,1.0
144,6.7,3.3,5.7,2.5
48,5.3,3.7,1.5,0.2
80,5.5,2.4,3.8,1.1
109,7.2,3.6,6.1,2.5
101,5.8,2.7,5.1,1.9
53,5.5,2.3,4.0,1.3
123,6.3,2.7,4.9,1.8
17,5.1,3.5,1.4,0.3
71,6.1,2.8,4.0,1.3
40,5.0,3.5,1.3,0.3
49,5.0,3.3,1.4,0.2
148,6.2,3.4,5.4,2.3
133,6.3,2.8,5.1,1.5
76,6.8,2.8,4.8,1.4
107,7.3,2.9,6.3,1.8
20,5.4,3.4,1.7,0.2
30,4.8,3.1,1.6,0.2
25,5.0,3.0,1.6,0.2
42,4.4,3.2,1.3,0.2
14,5.8,4.0,1.2,0.2
58,6.6,2.9,4.6,1.3
68,6.2,2.2,4.5,1.5
85,6.0,3.4,4.5,1.6
143,6.8,3.2,5.9,2.3
35,5.0,3.2,1.2,0.2
131,7.9,3.8,6.4,2.0
2,4.7,3.2,1.3,0.2
116,6.5,3.0,5.5,1.8
18,5.7,3.8,1.7,0.3
92,5.8,2.6,4.0,1.2
60,5.0,2.0,3.5,1.0
84,5.4,3.0,4.5,1.5
70,5.9,3.2,4.8,1.8
43,5.0,3.5,1.6,0.6
130,7.4,2.8,6.1,1.9
138,6.0,3.0,4.8,1.8
29,4.7,3.2,1.6,0.2
64,5.6,2.9,3.6,1.3
52,6.9,3.1,4.9,1.5
145,6.7,3.0,5.2,2.3
34,4.9,3.1,1.5,0.2
117,7.7,3.8,6.7,2.2
128,6.4,2.8,5.6,2.1
106,4.9,2.5,4.5,1.7
